Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent
CN,9.0,9,CN-9,吴,Wú,27800000.0,
CN,9.0,9,CN-9,吳,Ng,27800000.0,
CN,10.0,10,CN-10,周,Zhōu,26800000.0,
CN,10.0,10,CN-10,,Chow,26800000.0,
CN,11.0,11,CN-11,徐,Xú,20200000.0,
CN,11.0,11,CN-11,,Tsui,20200000.0,
CN,12.0,12,CN-12,孙,Sūn,19400000.0,
CN,12.0,12,CN-12,孫,Suen,19400000.0,
CN,13.0,13,CN-13,马,Mǎ,19100000.0,
CN,13.0,13,CN-13,馬,Ma,19100000.0,
CN,14.0,14,CN-14,朱,Zhū,18100000.0,
CN,14.0,14,CN-14,,Chu,18100000.0,
CN,15.0,15,CN-15,胡,Hú,16500000.0,
CN,15.0,15,CN-15,,Wu,16500000.0,
CN,16.0,16,CN-16,郭,Guō,15800000.0,
CN,16.0,16,CN-16,,Kwok,15800000.0,
CN,17.0,17,CN-17,何,Hé,14800000.0,
CN,17.0,17,CN-17,,Ho,14800000.0,
CN,18.0,18,CN-18,林,Lín,14200000.0,
CN,18.0,18,CN-18,,Lam,14200000.0,
CN,19.0,19,CN-19,高,Gāo,14100000.0,
CN,19.0,19,CN-19,,Ko,14100000.0,
CN,20.0,20,CN-20,罗,Luó,14000000.0,
CN,20.0,20,CN-20,羅,Law,14000000.0,
GE,1.0,1,GE-1,ბერიძე,Beridze,24962.0,
GE,2.0,2,GE-2,მამედოვი,Mamedov,23675.0,
GE,2.0,2,GE-2,,Mamedovi,23675.0,
GE,3.0,3,GE-3,კაპანაძე,Kapanadze,17202.0,
GE,4.0,4,GE-4,გელაშვილი,Gelashvili,16350.0,
GE,5.0,5,GE-5,ალიევი,Aliyev,15742.0,
GE,5.0,5,GE-5,,Alievi,15742.0,
GE,6.0,6,GE-6,მაისურაძე,Maisuradze,14824.0,
GE,7.0,7,GE-7,გიორგაძე,Giorgadze,12954.0,
GE,8.0,8,GE-8,ლომიძე,Lomidze,11796.0,
GE,9.0,9,GE-9,წიკლაური,Tsiklauri,11571.0,
GE,10.0,10,GE-10,ბოლქვაძე,Bolkvadze,10916.0,
GE,11.0,11,GE-11,კვარაცხელია,Kvaratskhelia,10447.0,
GE,12.0,12,GE-12,ნოზაძე,Nozadze,10183.0,
GE,13.0,13,GE-13,ხუციშვილი,Khutsishvili,10075.0,
GE,14.0,14,GE-14,შენგელია,Shengelia,9928.0,
GE,15.0,15,GE-15,აბულაძე,Abuladze,9663.0,
GE,16.0,16,GE-16,მიქელაძე,Mikeladze,9220.0,
GE,17.0,17,GE-17,ტაბატაძე,Tabatadze,8654.0,
GE,18.0,18,GE-18,მჭედლიშვილი,Mchedlishvili,8446.0,
GE,19.0,19,GE-19,ბაირამოვი,Bairamov,8373.0,
GE,19.0,19,GE-19,,Bairamovi,8373.0,
GE,20.0,20,GE-20,გოგოლაძე,Gogoladze,8362.0,
IN,1.0,1,IN-1,देवी,Devi,,
IN,2.0,2,IN-2,कुमार,Kumar,,
IN,3.0,3,IN-3,सिंह,Singh,,
IN,4.0,4,IN-4,शर्मा,Sharma,,
IN,5.0,5,IN-5,अली,Ali,,
IN,6.0,6,IN-6,यादव,Yadav,,
IN,7.0,7,IN-7,पटेल,Patel,,
IL,1.0,1,IL-1,כהן,Cohen,180725.0,0.0193
IL,2.0,2,IL-2,לוי,Levi,104876.0,0.0112
IL,2.0,2,IL-2,לוי,Levy,104876.0,0.0112
IL,3.0,3,IL-3,מזרחי,Mizrachi,30901.0,0.0033
IL,3.0,3,IL-3,מזרחי,Mizrahi,30901.0,0.0033
IL,4.0,4,IL-4,פרץ,Peretz,29964.0,0.0032
IL,5.0,5,IL-5,ביטון,Biton,28092.0,0.003
IL,6.0,6,IL-6,דהן,Dahan,21537.0,0.0023
IL,7.0,7,IL-7,אברהם,Avraham,20600.0,0.0022
IL,8.0,8,IL-8,פרידמן,Friedman,19664.0,0.0021
IL,9.0,9,IL-9,מלכה,Malka,17791.0,0.0019
IL,9.0,9,IL-9,מלכה,Malcah,17791.0,0.0019
IL,10.0,10,IL-10,אזולאי,Azoulay,17791.0,0.0019
IL,11.0,11,IL-11,כץ,Katz,17791.0,0.0019
IL,12.0,12,IL-12,יוסף,Yosef,16855.0,0.0018
IL,13.0,13,IL-13,דוד,David,15918.0,0.0017
IL,14.0,14,IL-14,עמר,Amar,15918.0,0.0017
IL,14.0,14,IL-14,עמר,Omer,15918.0,0.0017
IL,15.0,15,IL-15,אוחיון,Ohayon,14982.0,0.0016
IL,15.0,15,IL-15,אוחיון,Ochion,14982.0,0.0016
IL,16.0,16,IL-16,חדד,Hadad,14982.0,0.0016
IL,16.0,16,IL-16,חדד,Chadad,14982.0,0.0016
IL,17.0,17,IL-17,גבאי,Gabai,14982.0,0.0016
IL,18.0,18,IL-18,בן דוד,Ben-David,13109.0,0.0014
IL,19.0,19,IL-19,אדרי,Adrei,13109.0,0.0014
IL,19.0,19,IL-19,אדרי,Edry,13109.0,0.0014
IL,19.0,19,IL-19,אדרי,Edri,13109.0,0.0014
IL,19.0,19,IL-19,אדרי,Adary,13109.0,0.0014
IL,20.0,20,IL-20,לוין,Levin,13109.0,0.0014
IL,21.0,21,IL-21,טל,Tal,12173.0,0.0013
IL,22.0,22,IL-22,קליין,Klein,12173.0,0.0013
IL,23.0,23,IL-23,חן,Chen,12173.0,0.0013
IL,23.0,23,IL-23,חן,Khen,12173.0,0.0013
IL,24.0,24,IL-24,שפירא,Shapira,12173.0,0.0013
IL,25.0,25,IL-25,חזן,Chazan,12173.0,0.0013
IL,25.0,25,IL-25,חזן,Hazan,12173.0,0.0013
IL,26.0,26,IL-26,משה,Moshe,12173.0,0.0013
IL,27.0,27,IL-27,אשכנזי,Ashkenazi,11236.0,0.0012
IL,28.0,28,IL-28,אוחנה,Ohana,11236.0,0.0012
IL,29.0,29,IL-29,סגל,Segal,11236.0,0.0012
IL,29.0,29,IL-29,סגל,Segel,11236.0,0.0012
IL,30.0,30,IL-30,גולן,Golan,11236.0,0.0012
JP,1.0,1,JP-1,佐藤,Satō,1990000.0,0.0157
JP,2.0,2,JP-2,鈴木,Suzuki,1900000.0,0.015
JP,3.0,3,JP-3,高橋,Takahashi,1470000.0,0.0116
JP,4.0,4,JP-4,田中,Tanaka,1340000.0,0.0106
JP,5.0,5,JP-5,渡辺,Watanabe,1200000.0,0.0095
JP,6.0,6,JP-6,伊藤,Itō,1150000.0,0.0091
JP,7.0,7,JP-7,中村,Nakamura,1080000.0,0.0085
JP,8.0,8,JP-8,小林,Kobayashi,1060000.0,0.0084
JP,9.0,9,JP-9,山本,Yamamoto,1020000.0,0.0081
JP,10.0,10,JP-10,加藤,Katō,920000.0,0.0073
JP,11.0,11,JP-11,吉田,Yoshida,850000.0,
JP,12.0,12,JP-12,山田,Yamada,820000.0,
JP,13.0,13,JP-13,佐々木,Sasaki,710000.0,
JP,14.0,14,JP-14,山口,Yamaguchi,640000.0,
JP,15.0,15,JP-15,松本,Matsumoto,630000.0,
JP,16.0,16,JP-16,井上,Inoue,600000.0,
JP,17.0,17,JP-17,木村,Kimura,580000.0,
JP,18.0,18,JP-18,清水,Shimizu,560000.0,
JP,19.0,19,JP-19,林,Hayashi,550000.0,
JP,20.0,20,JP-20,斉藤,Saitō,530000.0,
JP,21.0,21,JP-21,斎藤,Saitō,520000.0,
JP,22.0,22,JP-22,山崎,Yamazaki,490000.0,
JP,22.0,22,JP-22,山崎,Yamasaki,490000.0,
JP,23.0,23,JP-23,中島,Nakajima,480000.0,
JP,23.0,23,JP-23,中島,Nakashima,480000.0,
JP,24.0,24,JP-24,森,Mori,470000.0,
JP,25.0,25,JP-25,阿部,Abe,470000.0,
JP,26.0,26,JP-26,池田,Ikeda,450000.0,
JP,27.0,27,JP-27,橋本,Hashimoto,450000.0,
JP,28.0,28,JP-28,石川,Ishikawa,440000.0,
JP,29.0,29,JP-29,山下,Yamashita,410000.0,
JP,30.0,30,JP-30,小川,Ogawa,410000.0,
JP,31.0,31,JP-31,石井,Ishii,400000.0,
JP,32.0,32,JP-32,長谷川,Hasegawa,390000.0,
JP,33.0,33,JP-33,後藤,Gotō,390000.0,
JP,34.0,34,JP-34,岡田,Okada,380000.0,
JP,35.0,35,JP-35,近藤,Kondō,370000.0,
JP,36.0,36,JP-36,前田,Maeda,370000.0,
JP,37.0,37,JP-37,藤田,Fujita,370000.0,
JP,38.0,38,JP-38,遠藤,Endō,360000.0,
JP,39.0,39,JP-39,青木,Aoki,350000.0,
JP,40.0,40,JP-40,坂本,Sakamoto,350000.0,
JP,41.0,41,JP-41,村上,Murakami,340000.0,
JP,42.0,42,JP-42,太田,Ōta,320000.0,
JP,43.0,43,JP-43,金子,Kaneko,310000.0,
JP,44.0,44,JP-44,藤井,Fujii,310000.0,
JP,45.0,45,JP-45,福田,Fukuda,300000.0,
JP,46.0,46,JP-46,西村,Nishimura,300000.0,
JP,47.0,47,JP-47,三浦,Miura,300000.0,
JP,48.0,48,JP-48,竹内,Takeuchi,290000.0,
JP,49.0,49,JP-49,中川,Nakagawa,290000.0,
JP,50.0,50,JP-50,岡本,Okamoto,290000.0,
JP,51.0,51,JP-51,松田,Matsuda,290000.0,
JP,52.0,52,JP-52,原田,Harada,290000.0,
JP,53.0,53,JP-53,中野,Nakano,290000.0,
JP,54.0,54,JP-54,小野,Ono,280000.0,
JP,55.0,55,JP-55,田村,Tamura,280000.0,
JP,56.0,56,JP-56,藤原,Fujiwara,270000.0,
JP,56.0,56,JP-56,藤原,Fujihara,270000.0,
JP,57.0,57,JP-57,中山,Nakayama,270000.0,
JP,58.0,58,JP-58,石田,Ishida,270000.0,
JP,59.0,59,JP-59,小島,Kojima,260000.0,
JP,60.0,60,JP-60,和田,Wada,260000.0,
JP,61.0,61,JP-61,森田,Morita,250000.0,
JP,62.0,62,JP-62,内田,Uchida,250000.0,
JP,63.0,63,JP-63,柴田,Shibata,250000.0,
JP,64.0,64,JP-64,酒井,Sakai,240000.0,
JP,65.0,65,JP-65,原,Hara,240000.0,
JP,66.0,66,JP-66,高木,Takagi,240000.0,
JP,66.0,66,JP-66,高木,Takaki,240000.0,
JP,67.0,67,JP-67,横山,Yokoyama,240000.0,
JP,68.0,68,JP-68,安藤,Andō,240000.0,
JP,69.0,69,JP-69,宮崎,Miyazaki,240000.0,
JP,69.0,69,JP-69,宮崎,Miyasaki,240000.0,
JP,70.0,70,JP-70,上田,Ueda,240000.0,
JP,70.0,70,JP-70,上田,Ueta,240000.0,
JP,71.0,71,JP-71,島田,Shimada,230000.0,
JP,72.0,72,JP-72,工藤,Kudō,230000.0,
JP,73.0,73,JP-73,大野,Ōno,220000.0,
JP,74.0,74,JP-74,宮本,Miyamoto,220000.0,
JP,75.0,75,JP-75,杉山,Sugiyama,220000.0,
JP,76.0,76,JP-76,今井,Imai,220000.0,
JP,77.0,77,JP-77,丸山,Maruyama,210000.0,
JP,78.0,78,JP-78,増田,Masuda,210000.0,
JP,79.0,79,JP-79,高田,Takada,210000.0,
JP,79.0,79,JP-79,高田,Takata,210000.0,
JP,80.0,80,JP-80,村田,Murata,210000.0,
JP,81.0,81,JP-81,平野,Hirano,210000.0,
JP,82.0,82,JP-82,大塚,Ōtsuka,210000.0,
JP,83.0,83,JP-83,菅原,Sugawara,210000.0,
JP,83.0,83,JP-83,菅原,Sugahara,210000.0,
JP,84.0,84,JP-84,武田,Takeda,200000.0,
JP,84.0,84,JP-84,武田,Taketa,200000.0,
JP,85.0,85,JP-85,新井,Arai,200000.0,
JP,86.0,86,JP-86,小山,Koyama,200000.0,
JP,86.0,86,JP-86,小山,Oyama,200000.0,
JP,87.0,87,JP-87,野口,Noguchi,200000.0,
JP,88.0,88,JP-88,桜井,Sakurai,200000.0,
JP,89.0,89,JP-89,千葉,Chiba,200000.0,
JP,90.0,90,JP-90,岩崎,Iwasaki,200000.0,
JP,91.0,91,JP-91,佐野,Sano,200000.0,
JP,92.0,92,JP-92,谷口,Taniguchi,200000.0,
JP,93.0,93,JP-93,上野,Ueno,200000.0,
JP,94.0,94,JP-94,松井,Matsui,190000.0,
JP,95.0,95,JP-95,河野,Kōno,190000.0,
JP,95.0,95,JP-95,河野,Kawano,190000.0,
JP,96.0,96,JP-96,市川,Ichikawa,190000.0,
JP,97.0,97,JP-97,渡部,Watanabe,190000.0,
JP,97.0,97,JP-97,渡部,Watabe,190000.0,
JP,98.0,98,JP-98,野村,Nomura,180000.0,
JP,99.0,99,JP-99,菊地,Kikuchi,180000.0,
JP,100.0,100,JP-100,木下,Kinoshita,180000.0,
KZ,1.0,1,KZ-1,Ахметов,Ahmetov,73627.0,
KZ,2.0,2,KZ-2,Омаров,Omarov,45123.0,
KZ,3.0,3,KZ-3,Ким,Kim,42274.0,
KZ,4.0,4,KZ-4,Оспанов,Ospanov,41068.0,
KZ,5.0,5,KZ-5,Иванов,Ivanov,39296.0,
KZ,6.0,6,KZ-6,Алиев,Aliev,36084.0,
KZ,7.0,7,KZ-7,Сулейменов,Suleimenov,33940.0,
KZ,8.0,8,KZ-8,Искаков,Iskakov,31988.0,
KZ,9.0,9,KZ-9,Абдрахманов,Abdrahmanov,29091.0,
KZ,10.0,10,KZ-10,Ибрагимов,Ibragimov,28755.0,
KZ,11.0,11,KZ-11,Калиев,Kaliev,28219.0,
KZ,12.0,12,KZ-12,Садыков,Sadykov,27810.0,
KZ,13.0,13,KZ-13,Ибраев,Ibraev,26531.0,
KZ,14.0,14,KZ-14,Кузнецов,Kuznetsov,25990.0,
KZ,15.0,15,KZ-15,Попов,Popov,24956.0,
KZ,16.0,16,KZ-16,Смагулов,Smagulov,24005.0,
KZ,17.0,17,KZ-17,Абдуллаев,Abdullaev,23729.0,
KZ,18.0,18,KZ-18,Исаев,Isaev,22910.0,
KZ,19.0,19,KZ-19,Султанов,Sultanov,22808.0,
KZ,22.0,22,KZ-22,Юсупов,Iusupov,22763.0,
KZ,21.0,21,KZ-21,Исмаилов,Ismailov,21392.0,
KZ,22.0,22,KZ-22,Нургалиев,Nurgaliev,21133.0,
KZ,23.0,23,KZ-23,Каримов,Karimov,20575.0,
KZ,24.0,24,KZ-24,Серік,Серик,19550.0,
KZ,25.0,25,KZ-25,Ли,Li,17049.0,
KZ,26.0,26,KZ-26,Цой,Tsoi,12088.0,
KZ,27.0,27,KZ-27,Амангельды,Amangeldy,15125.0,
KZ,28.0,28,KZ-28,Болат,Bolat,11234.0,
KZ,29.0,29,KZ-29,Бондаренко,Bondarenko,10648.0,
KZ,30.0,30,KZ-30,Марат,Marat,10417.0,
KZ,31.0,31,KZ-31,Серікбай,Серикбай,10193.0,
KZ,32.0,32,KZ-32,Мурат,Murat,10106.0,
KZ,33.0,33,KZ-33,Кусаинов,Kusainov,10103.0,
KR,1.0,1,KR-1,김,Kim,,
KR,1.0,1,KR-1,金,Gim,,
KR,1.0,1,KR-1,,Ghim,,
KR,2.0,2,KR-2,리,Lee,,
KR,2.0,2,KR-2,이,Yi,,
KR,2.0,2,KR-2,李,Rhee,,
KR,3.0,3,KR-3,박,Park,,
KR,3.0,3,KR-3,朴,Pak,,
KR,3.0,3,KR-3,,Bak,,
KR,4.0,4,KR-4,최,Choi,,
KR,4.0,4,KR-4,崔,Choe,,
KR,4.0,4,KR-4,,Choy,,
KR,4.0,4,KR-4,,Joy,,
KR,5.0,5,KR-5,정,Jeong,,
KR,5.0,5,KR-5,鄭,Chung,,
KR,5.0,5,KR-5,,Cheong,,
KR,5.0,5,KR-5,,Jung,,
KR,5.0,5,KR-5,,Young,,
KR,6.0,6,KR-6,강,Kang,,
KR,6.0,6,KR-6,姜,Gang,,
KR,6.0,6,KR-6,,Ghang,,
KR,7.0,7,KR-7,조,Cho,,
KR,7.0,7,KR-7,趙,Jo,,
KR,7.0,7,KR-7,,Joe,,
KR,8.0,8,KR-8,윤,Yoon,,
KR,8.0,8,KR-8,尹,Yun,,
KR,8.0,8,KR-8,,Youn,,
KR,9.0,9,KR-9,장,Jang,,
KR,9.0,9,KR-9,張,Chang,,
KR,10.0,10,KR-10,림,Lim,,
KR,10.0,10,KR-10,임,Rim,,
KR,10.0,10,KR-10,林,Im,,
KR,10.0,10,KR-10,,Rhim,,
KR,11.0,11,KR-11,한,Han,,
KR,11.0,11,KR-11,韓,,,
KR,12.0,12,KR-12,오,O,,
KR,12.0,12,KR-12,吳,Oh,,
KR,13.0,13,KR-13,서,Seo,,
KR,13.0,13,KR-13,徐,Suh,,
KR,13.0,13,KR-13,,Seoh,,
KR,14.0,14,KR-14,신,Shin,,
KR,14.0,14,KR-14,申,Sin,,
KR,15.0,15,KR-15,권,Kwon,,
KR,15.0,15,KR-15,權,Gwon,,
KR,15.0,15,KR-15,,Kuen,,
KR,16.0,16,KR-16,황,Hwang,,
KR,16.0,16,KR-16,黃,Huang,,
KR,17.0,17,KR-17,안,Ahn,,
KR,17.0,17,KR-17,安,An,,
KR,18.0,18,KR-18,송,Song,,
KR,18.0,18,KR-18,宋,,,
KR,19.0,19,KR-19,류,Yoo,,
KR,19.0,19,KR-19,유,Yu,,
KR,19.0,19,KR-19,柳,Ryu,,
KR,19.0,19,KR-19,,Ryoo,,
KR,20.0,20,KR-20,전,Jeon,,
KR,20.0,20,KR-20,全,Jun,,
KR,20.0,20,KR-20,,Chun,,
KR,20.0,20,KR-20,,Cheon,,
KR,21.0,21,KR-21,홍,Hong,,
KR,21.0,21,KR-21,洪,,,
KR,22.0,22,KR-22,고,Ko,,
KR,22.0,22,KR-22,高,Koh,,
KR,22.0,22,KR-22,,Go,,
KR,22.0,22,KR-22,,Goh,,
KR,23.0,23,KR-23,문,Mun,,
KR,23.0,23,KR-23,文,Moon,,
KR,23.0,23,KR-23,,Mon,,
KR,23.0,23,KR-23,,Munn,,
KR,24.0,24,KR-24,량,Yang,,
KR,24.0,24,KR-24,양,Ryang,,
KR,24.0,24,KR-24,梁,,,
KR,25.0,25,KR-25,손,Son,,
KR,25.0,25,KR-25,孫,Sohn,,
KR,25.0,25,KR-25,,Sonn,,
KR,26.0,26,KR-26,배,Bae,,
KR,26.0,26,KR-26,裵,Bai,,
KR,26.0,26,KR-26,,Pai,,
KR,26.0,26,KR-26,,Pae,,
KR,27.0,27,KR-27,조,Jo,,
KR,27.0,27,KR-27,曺,Cho,,
KR,28.0,28,KR-28,백,Baek,,
KR,28.0,28,KR-28,白,Paik,,
KR,28.0,28,KR-28,,Pak,,
KR,28.0,28,KR-28,,Bak,,
KR,28.0,28,KR-28,,Bhak,,
KR,28.0,28,KR-28,,Phak,,
KR,29.0,29,KR-29,허,Hur,,
KR,29.0,29,KR-29,許,Heo,,
KR,29.0,29,KR-29,,Her,,
KR,29.0,29,KR-29,,Hui,,
KR,30.0,30,KR-30,류,Yu,,
KR,30.0,30,KR-30,유,Yoo,,
KR,30.0,30,KR-30,劉,Liu,,
KR,30.0,30,KR-30,,Lau,,
